
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.14.5, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:       55
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:       25

Total number of variables............................:       16
                     variables with only lower bounds:        1
                variables with lower and upper bounds:        8
                     variables with only upper bounds:        0
Total number of equality constraints.................:       12
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 149 -5.6338909e+02 6.81e-16 1.08e-07  -8.6 3.42e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150 -5.6338909e+02 2.37e-16 1.06e-06  -8.6 1.25e+01    -  1.00e+00 1.25e-01h  4
 151 -5.6338909e+02 9.86e-16 8.45e-07  -8.6 1.96e+01    -  1.00e+00 5.00e-01h  2
 152 -5.6338909e+02 7.68e-16 1.06e-06  -8.6 5.28e+01    -  1.00e+00 5.00e-01h  2
 153 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 6.06e+01    -  1.00e+00 1.00e+00H  1
 154 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 1.71e+01    -  1.00e+00 2.50e-01h  3
 155 -5.6338909e+02 1.24e-15 1.08e-07  -8.6 3.24e+00    -  1.00e+00 1.00e+00H  1
 156 -5.6338909e+02 2.41e-16 2.02e-06  -8.6 1.55e+00    -  1.00e+00 1.00e+00H  1
 157 -5.6338909e+02 7.96e-16 1.06e-06  -8.6 1.50e+01    -  1.00e+00 1.25e-01h  4
 158 -5.6338909e+02 4.44e-16 1.06e-06  -8.6 7.64e+01    -  1.00e+00 1.00e+00H  1
 159 -5.6338909e+02 8.88e-16 1.06e-06  -8.6 3.99e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160 -5.6338909e+02 1.43e-15 8.45e-07  -8.6 1.60e+01    -  1.00e+00 6.25e-02h  5
 161 -5.6338909e+02 9.86e-16 1.08e-07  -8.6 4.40e+01    -  1.00e+00 1.25e-01h  4
 162 -5.6338909e+02 1.32e-15 1.06e-06  -8.6 1.90e+01    -  1.00e+00 1.25e-01h  4
 163 -5.6338909e+02 6.50e-16 8.45e-07  -8.6 6.22e+01    -  1.00e+00 2.50e-01h  3
 164 -5.6338909e+02 2.22e-16 1.06e-06  -8.6 4.04e+01    -  1.00e+00 1.00e+00H  1
 165 -5.6338909e+02 4.44e-16 8.45e-07  -8.6 8.70e+01    -  1.00e+00 1.00e+00H  1
 166 -5.6338909e+02 4.44e-16 8.45e-07  -8.6 5.15e+00    -  1.00e+00 5.00e-01h  2
 167 -5.6338909e+02 1.78e-15 1.80e-06  -8.6 5.34e+01    -  1.00e+00 1.00e+00H  1
 168 -5.6338909e+02 6.66e-16 8.45e-07  -8.6 2.17e+01    -  1.00e+00 1.00e+00H  1
 169 -5.6338909e+02 8.88e-16 2.97e-06  -8.6 2.95e+01    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170 -5.6338909e+02 1.78e-15 2.75e-06  -8.6 6.21e+01    -  1.00e+00 1.00e+00h  1
 171 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 6.89e+01    -  1.00e+00 5.00e-01h  2
 172 -5.6338909e+02 1.87e-15 1.80e-06  -8.6 2.05e+01    -  1.00e+00 2.50e-01h  3
 173 -5.6338909e+02 1.33e-15 8.45e-07  -8.6 7.42e+01    -  1.00e+00 2.50e-01h  3
 174 -5.6338909e+02 1.78e-15 2.97e-06  -8.6 1.30e+02    -  1.00e+00 1.00e+00h  1
 175 -5.6338909e+02 7.45e-09 3.01e-07  -8.6 1.06e+02    -  1.00e+00 1.00e+00h  1
 176 -5.6338909e+02 5.73e-16 1.44e-07  -8.6 4.39e+01    -  1.00e+00 5.00e-01h  2
 177 -5.6338909e+02 4.44e-16 1.80e-06  -8.6 5.92e+00    -  1.00e+00 2.50e-01h  3
 178 -5.6338909e+02 4.44e-16 1.06e-06  -8.6 7.06e+01    -  1.00e+00 1.00e+00H  1
 179 -5.6338909e+02 4.44e-16 1.06e-06  -8.6 5.65e+01    -  1.00e+00 1.25e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180 -5.6338909e+02 4.44e-16 1.08e-07  -8.6 7.74e+01    -  1.00e+00 1.00e+00h  1
 181 -5.6338909e+02 7.58e-16 1.06e-06  -8.6 3.73e+01    -  1.00e+00 1.25e-01h  4
 182 -5.6338909e+02 7.45e-09 1.28e-07  -8.6 1.19e+02    -  1.00e+00 1.00e+00h  1
 183 -5.6338909e+02 1.78e-15 1.08e-07  -8.6 7.41e+01    -  1.00e+00 5.00e-01h  2
 184 -5.6338909e+02 8.88e-16 7.98e-07  -8.6 1.17e+02    -  1.00e+00 1.25e-01h  4
 185 -5.6338909e+02 4.44e-16 1.08e-07  -8.6 1.45e+00    -  1.00e+00 1.00e+00H  1
 186 -5.6338909e+02 1.57e-15 8.45e-07  -8.6 6.01e+01    -  1.00e+00 1.00e+00h  1
 187 -5.6338909e+02 1.02e-15 8.45e-07  -8.6 9.35e+00    -  1.00e+00 1.25e-01h  4
 188 -5.6338909e+02 2.22e-16 2.52e-07  -8.6 3.58e+01    -  1.00e+00 1.25e-01h  4
 189 -5.6338909e+02 1.57e-15 8.45e-07  -8.6 8.13e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
